var_name,standard_name,units
conductivity,sea_water_electrical_conductivity,
density,sea_water_density,
depth,depth,
lat,latitude,degrees_north
lat_uv,latitude,degrees_north
lon,longitude,degrees_east
lon_uv,longitude,degrees_east
pressure,sea_water_pressure,
profile_lat,latitude,degrees_north
profile_lon,longitude,degrees_east
profile_time,time,seconds since 1970-01-01T00:00:00Z
salinity,sea_water_practical_salinity,
temperature,sea_water_temperature,degrees_C
time,time,seconds since 1970-01-01T00:00:00Z
time_uv,time,seconds since 1970-01-01T00:00:00Z
u,eastward_sea_water_velocity,m s-1
v,northward_sea_water_velocity,m s-1
